order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,101,,269,Laptop,Electronics,Internet Banking,34,740,2022-06-01 10:44:27,USA,New York,www.tatacliq.com,16772,N,Timeout
2,181,Neo,256,Mixing Bowls,Home & Kitchen,Internet Banking,32,5081,2022-02-18 06:50:10,USA,Chicago,www.flipkart.com,25712,Y,
3,123,Neo,279,Laptop,Electronics,Internet Banking,12,3929,2023-03-19 15:39:44,USA,Chicago,www.ebay.in,63815,Y,
4,191,Neo,287,Non-fiction,Books,Wallet,3,2984,2023-06-18 01:26:33,Australia,Brisbane,www.ebay.in,46598,Y,
5,200,Neo,293,Self-Help,Books,Wallet,45,8732,2022-08-26 08:07:20,USA,Boston,www.ebay.in,39008,N,Invalid CVV
6,198,Mary Jane,230,Measuring Cups,Home & Kitchen,Card,22,1561,2022-06-18 12:47:14,Germany,Hamburg,www.tatacliq.com,68127,N,Timeout
7,136,Neo,265,Biography,Books,Wallet,1,7642,2022-07-20 15:36:39,Australia,Sydney,www.flipkart.com,13826,N,Timeout
8,132,Mary Jane,248,Fitness Tracker,Electronics,Wallet,44,6097,2021-06-28 23:31:18,USA,Boston,www.tatacliq.com,77646,Y,
9,184,Joe Smith,250,Sportswear,Clothing,Wallet,19,3044,2021-03-15 05:02:54,India,Indore,www.ebay.in,68994,N,Insufficient Funds
10,112,Mary Jane,212,Cookbooks,Books,Card,17,7965,2023-04-20 11:54:55,India,Indore,www.ebay.in,13151,N,Timeout
11,133,Mary Jane,287,Fiction,Books,Wallet,4,4408,2022-11-20 03:35:06,Australia,Brisbane,www.flipkart.com,45169,Y,
12,134,Joe Smith,221,Smart TV,Electronics,UPI,48,1123,2021-11-08 21:24:21,Germany,Munich,www.flipkart.com,76088,Y,
13,151,Mary Jane,265,VR Headset,Electronics,UPI,26,690,2023-01-09 21:24:15,Australia,Sydney,www.amazon.com,51707,Y,
14,145,Trinity,208,Whiteboard Markers,Stationery,Internet Banking,18,5288,2023-05-28 07:44:22,USA,Boston,www.tatacliq.com,49491,Y,
15,109,John Smith,243,Glasses,Home & Kitchen,Internet Banking,12,1551,2023-08-01 13:11:01,Germany,Hamburg,www.flipkart.com,15132,Y,
16,134,Mary Jane,213,Microwave,Home & Kitchen,Card,49,9084,2021-01-20 22:36:20,USA,Chicago,www.ebay.in,14822,Y,
17,130,Trinity,202,Fitness Tracker,Electronics,Internet Banking,1,8840,2023-09-28 19:32:35,Germany,Munich,www.flipkart.com,55823,Y,
18,180,Neo,228,Swimwear,Clothing,Card,22,8598,2023-01-01 00:00:00,UK,Oxford,www.ebay.in,87557,Y,
19,132,Trinity,252,Wireless Router,Electronics,UPI,28,3346,2022-01-14 10:29:03,UK,London,www.tatacliq.com,64940,Y,
20,131,,228,Smartphone,Electronics,Internet Banking,27,8013,2023-10-24 07:54:11,Germany,Munich,www.amazon.com,62785,Y,
21,181,Trinity,219,Camera,Electronics,Card,10,8853,2023-05-28 08:55:22,UK,Manchester,www.tatacliq.com,55781,N,Insufficient Funds
22,176,Trinity,233,Paper Clips,Stationery,Internet Banking,14,2652,2022-09-15 15:49:32,UK,London,www.flipkart.com,32838,N,Invalid CVV
23,146,Neo,278,Dish Rack,Home & Kitchen,Internet Banking,24,5024,2023-06-18 03:29:09,India,Indore,www.flipkart.com,11680,N,Insufficient Funds
24,145,John Smith,272,Oven Mitts,Home & Kitchen,Internet Banking,33,3580,2023-09-15 10:23:18,India,Mumbai,www.tatacliq.com,39715,Y,
25,197,Joe Smith,261,Young Adult,Books,UPI,4,1489,2021-01-26 09:33:32,India,Bengaluru,www.ebay.in,95587,Y,
26,200,Trinity,229,Historical Fiction,Books,Internet Banking,35,2101,2023-10-23 07:18:56,UK,Oxford,www.amazon.com,37611,N,Insufficient Funds
27,116,Trinity,264,Blouses,Clothing,Wallet,12,9920,2022-06-14 22:01:01,India,Indore,www.tatacliq.com,31221,Y,
28,130,Neo,267,Suits,Clothing,Wallet,24,3111,2023-10-09 13:22:21,India,Mumbai,www.tatacliq.com,70832,Y,
29,118,Mary Jane,267,Chopping Board,Home & Kitchen,UPI,22,3868,2023-02-17 06:59:56,USA,Chicago,www.tatacliq.com,12787,Y,
30,108,Joe Smith,274,Pants,Clothing,Internet Banking,33,5267,2021-05-07 03:04:54,Australia,Melbourne,www.tatacliq.com,10832,N,Insufficient Funds
31,120,Mary Jane,280,Skirts,Clothing,Wallet,41,405,2021-09-03 18:22:28,Australia,Sydney,www.ebay.in,40720,Y,
32,140,Trinity,232,Air Fryer,Home & Kitchen,UPI,48,9777,2021-06-27 04:25:30,USA,Boston,www.ebay.in,81216,Y,
33,105,John Smith,230,Whiteboard Markers,Stationery,Card,28,5554,2022-04-02 12:11:08,UK,Oxford,www.tatacliq.com,30102,N,Timeout
34,107,Trinity,226,Projector,Electronics,Internet Banking,48,1476,2022-09-09 03:26:37,India,Mumbai,www.flipkart.com,34205,Y,
35,149,Mary Jane,200,Biography,Books,Internet Banking,47,8051,2023-01-15 00:00:29,USA,Boston,www.ebay.in,50916,Y,
36,113,Trinity,292,Fiction,Books,Internet Banking,39,2742,2023-11-15 06:50:21,Germany,Berlin,www.tatacliq.com,31438,N,Insufficient Funds
37,114,Mary Jane,255,Drone,Electronics,UPI,6,3658,2023-10-20 06:16:17,UK,Oxford,www.flipkart.com,28625,N,Insufficient Funds
38,123,John Smith,230,Blender,Home & Kitchen,Internet Banking,33,247,2021-03-30 10:55:22,Germany,Hamburg,www.tatacliq.com,72908,N,Invalid CVV
39,184,Mary Jane,294,Calculator,Stationery,UPI,40,8475,2021-12-30 17:06:56,India,Indore,www.tatacliq.com,17939,Y,
40,150,Neo,273,Cutlery,Home & Kitchen,Internet Banking,32,6127,2021-08-29 05:32:01,USA,Boston,www.tatacliq.com,33662,N,Insufficient Funds
41,167,Joe Smith,258,Blouses,Clothing,Internet Banking,20,1838,2022-05-15 21:27:06,Australia,Sydney,www.amazon.com,67131,Y,
42,123,John Smith,291,Projector,Electronics,Card,49,1381,2023-09-22 09:28:41,Germany,Berlin,www.ebay.in,81067,Y,
43,129,John Smith,295,Hats,Clothing,Card,21,2475,2021-09-12 20:23:43,Germany,Hamburg,www.flipkart.com,85671,N,Timeout
44,128,Mary Jane,299,Air Fryer,Home & Kitchen,UPI,31,9156,2023-05-05 18:07:24,Germany,Berlin,www.amazon.com,27838,Y,
45,153,Neo,285,Stapler,Stationery,Internet Banking,47,5264,2021-03-28 11:17:24,UK,London,www.amazon.com,55817,N,Insufficient Funds
46,176,Trinity,236,Smart TV,Electronics,UPI,41,3901,2021-11-15 06:29:56,UK,Manchester,www.amazon.com,57505,Y,
47,180,Trinity,203,Shoes,Clothing,Internet Banking,21,5618,2022-11-27 01:45:50,UK,London,www.amazon.com,52201,Y,
48,121,John Smith,293,Headphones,Electronics,Wallet,41,5694,2022-12-10 05:45:25,Australia,Brisbane,www.flipkart.com,34269,N,Invalid CVV
49,184,Trinity,247,Biography,Books,Wallet,3,3809,2021-04-19 02:49:42,India,Indore,www.flipkart.com,25173,N,Invalid CVV
50,184,Trinity,200,Home Theater System,Electronics,Wallet,47,7041,2023-07-20 10:59:38,USA,Boston,www.ebay.in,57061,Y,
51,172,Joe Smith,207,Letter Opener,Stationery,Card,8,2000,2023-01-27 15:10:35,India,Indore,www.tatacliq.com,98858,Y,
52,160,Trinity,285,Monitor,Electronics,Wallet,20,5984,2022-05-26 10:32:06,USA,Boston,www.amazon.com,15080,Y,
